,Codes,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt bis 2.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 2.000 bis 4.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 4.000 bis 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Median Bruttoarbeitsentgelte  2010,Stadtteilnummer,Anteil Wahlberechtigte ohne Sperrvermerk,Anteil Wähler,Anteil darunter Wähler mit Wahlschein,Anteil ungültige Stimmen,Anteil CDU,Anteil SPD,Anteil GRÜNE,Anteil DIE LINKE,Anteil AfD,Anteil FDP,Anteil PIRATEN,Anteil NPD,Anteil FREIE WÄHLER,Anteil Die PARTEI,Anteil BüSo,Anteil MLPD,Anteil BGE,Anteil DKP,Anteil DM,Anteil ÖDP,Anteil Tierschutzpartei,Anteil V-Partei³,year,Erwerbsfähige Personen Insgesamt,Erwerbsfähige Personen Erwerbsfähigendichte in %,Erwerbsfähige Personen Frauen,Erwerbsfähige Personen Männer,Erwerbsfähige Personen Deutsche,Erwerbsfähige Personen Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Insgesamt,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Frauen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Frauen in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Männer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Männer in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Deutsche,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Deutsche in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Ausländerinnen und Ausländer in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) 15- bis unter 25-Jährige,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte 15- bis unter 25-Jährige in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Nebenjobs,Sozialversicherungspflichtig Beschäftigte (Wohnort) Nebenjobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Midijobber/innen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Midijobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobber/innen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Frauen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Männer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Deutsche,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs 15- bis unter 25-Jährige,Arbeitslose Insgesamt,Arbeitslose Arbeitslosendichte in %,Arbeitslose SGB III,Arbeitslose Arbeitslosendichte SGB III in %,Arbeitslose SGB II,Arbeitslose Arbeitslosendichte SGB II in %,Arbeitslose Frauen,Arbeitslose Arbeitslosendichte Frauen in %,Arbeitslose Männer,Arbeitslose Arbeitslosendichte Männer in %,Arbeitslose unter 25-Jährige,Arbeitslose Arbeitslosendichte unter 25-Jährige in %,Arbeitslose Deutsche,Arbeitslose Arbeitslosendichte Deutsche in %,Arbeitslose Ausländerinnen und Ausländer,Arbeitslose Arbeitslosendichte Ausländerinnen und Ausländer in %,Arbeitslose 55- bis unter 65-Jährige,Arbeitslose Arbeitslosendichte 55- bis unter 65-Jährige in %,SGB III Leistungsempfänger/innen Insgesamt
28,29,877,1700,374,500,2868,29,80.9,70.2,25.9,1.4,24.4,24.1,12.3,14.3,9.2,10.1,0.5,0.2,0.5,1.4,0.0,0.1,0.3,0.1,0.3,0.2,1.6,0.4,2011,9585,"68,5",4866,4719,6523,3062,4785,"49,9",2366,"48,6",2419,"51,3",3535,"54,2",1250,"40,8",460,"28,2",599,"6,2",284,3,753,"7,9",450,303,489,261,163,560,"5,8",104,"1,1",456,"4,8",267,"5,5",293,"6,2",50,"3,1",326,5,234,"7,6",77,"4,7",121
29,30,702,1433,401,697,3208,30,80.6,75.1,24.5,1.0,26.1,21.8,14.2,11.9,8.7,12.7,0.5,0.2,0.4,1.2,0.0,0.1,0.4,0.1,0.1,0.2,1.1,0.3,2011,9090,"67,2",4627,4463,6211,2879,4636,51,2253,"48,7",2383,"53,4",3443,"55,4",1193,"41,4",402,29,581,"6,4",233,"2,6",597,"6,6",395,202,376,218,150,462,"5,1",105,"1,2",357,"3,9",208,"4,5",254,"5,7",40,"2,9",252,"4,1",209,"7,3",71,"5,3",112
30,31,367,710,157,191,2849,31,82.5,67.0,25.0,1.4,25.7,23.2,12.2,11.7,12.8,9.4,0.6,0.2,0.6,0.9,0.0,0.2,0.1,0.1,0.2,0.2,1.3,0.5,2011,4067,"66,6",2050,2017,3043,1024,2009,"49,4",954,"46,5",1055,"52,3",1597,"52,5",412,"40,2",202,"30,4",240,"5,9",94,"2,3",309,"7,6",188,121,237,70,77,220,"5,4",43,"1,1",177,"4,4",108,"5,3",112,"5,6",10,"1,5",150,"4,9",69,"6,7",34,"4,3",56
31,32,,,,,3251.0697674418607,32,76.3,77.8,29.8,0.9,29.8,20.5,12.5,11.0,8.5,13.9,0.6,0.3,0.4,1.1,0.0,0.1,0.2,0.0,0.1,0.2,0.6,0.2,2011,2243,"64,6",1163,1080,1796,447,1085,"48,4",534,"45,9",551,51,916,51,169,"37,8",117,"28,3",104,"4,6",40,"1,8",178,"7,9",116,62,136,42,50,94,"4,2",25,"1,1",69,"3,1",50,"4,3",44,"4,1",6,"1,4",58,"3,2",36,"8,1",19,"5,2",20
32,33,356,593,113,67,2546,33,85.0,67.8,20.7,1.8,17.5,29.6,9.7,18.8,13.1,5.5,0.7,0.3,0.5,1.4,0.0,0.1,0.2,0.2,0.1,0.3,2.0,0.1,2011,3178,"68,1",1594,1584,2266,912,1570,"49,4",727,"45,6",843,"53,2",1209,"53,4",361,"39,6",154,"34,3",182,"5,7",72,"2,3",299,"9,4",176,123,205,93,59,331,"10,4",54,"1,7",277,"8,7",141,"8,8",190,12,13,"2,9",200,"8,8",131,"14,4",52,"9,1",71
33,34,526,1041,253,401,2984,34,77.8,75.3,27.9,1.5,28.3,21.6,14.5,11.1,8.7,11.7,0.4,0.2,0.4,1.2,0.0,0.0,0.2,0.1,0.2,0.1,1.1,0.1,2011,6244,"64,3",3042,3202,4535,1709,3124,50,1574,"51,7",1550,"48,4",2482,"54,7",642,"37,6",302,"33,2",342,"5,5",182,"2,9",457,"7,3",258,199,338,119,99,352,"5,6",83,"1,3",269,"4,3",159,"5,2",193,6,21,"2,3",207,"4,6",143,"8,4",53,"4,5",86
34,35,1140,1575,264,270,2453,35,83.3,61.2,25.5,1.6,24.8,25.6,10.5,12.6,11.6,9.0,0.8,0.3,0.7,1.4,0.0,0.0,0.4,0.1,0.2,0.1,1.5,0.2,2011,10610,"67,9",5092,5518,5990,4620,4680,"44,1",2108,"41,4",2572,"46,6",3010,"50,3",1670,"36,1",618,"31,6",659,"6,2",287,"2,7",940,"8,9",572,368,554,380,197,1123,"10,6",133,"1,3",990,"9,3",498,"9,8",625,"11,3",76,"3,9",587,"9,8",530,"11,5",137,"8,2",174
35,36,985,1694,365,465,2736,36,82.3,66.5,24.1,1.4,21.7,23.7,13.7,14.6,11.1,9.1,0.8,0.2,0.5,2.1,0.0,0.2,0.3,0.1,0.3,0.3,1.1,0.1,2011,10091,"73,4",4859,5232,5848,4243,4969,"49,2",2314,"47,6",2655,"50,7",3337,"57,1",1632,"38,5",553,31,630,"6,2",322,"3,2",768,"7,6",455,313,420,341,210,792,"7,8",156,"1,5",636,"6,3",320,"6,6",472,9,68,"3,8",430,"7,4",360,"8,5",115,"8,7",183
36,37,1128,2099,502,558,2920,37,83.2,68.7,22.9,1.9,26.7,24.5,8.8,10.5,14.2,10.2,0.6,0.3,0.8,0.8,0.0,0.1,0.1,0.0,0.5,0.2,1.5,0.2,2011,12366,"68,5",6044,6322,7726,4640,6187,50,2832,"46,9",3355,"53,1",4380,"56,7",1807,"38,9",668,"32,8",731,"5,9",335,"2,7",991,8,608,383,612,371,226,886,"7,2",153,"1,2",733,"5,9",385,"6,4",501,"7,9",63,"3,1",480,"6,2",402,"8,7",148,"7,1",179
37,38,601,1058,271,193,2806,38,85.6,66.6,20.2,2.0,29.3,25.9,8.1,9.0,13.6,8.2,0.7,0.6,0.8,1.0,0.0,0.2,0.2,0.1,0.4,0.1,1.6,0.2,2011,5896,"66,6",2771,3125,3975,1921,2996,"50,8",1274,46,1722,"55,1",2263,"56,9",733,"38,2",360,"34,8",357,"6,1",135,"2,3",491,"8,3",302,189,349,140,106,426,"7,2",79,"1,3",347,"5,9",204,"7,4",222,"7,1",47,"4,5",247,"6,2",179,"9,3",61,"6,2",107
